"variable","base_var","always_zero","nonzero_steps","total_steps","proportion_nonzero","filename","type","dataset","h","w"
"EPU_lag1","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag2","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag3","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag4","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag5","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag6","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag7","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag8","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag9","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag10","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag11","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag12","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag13","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag14","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag15","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag16","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag17","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag18","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag19","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"EPU_lag20","EPU",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
