"base_var","all_lags_grouped_steps","proportion_all_grouped","some_lags_grouped_steps","proportion_some_grouped","total_steps","filename","type","dataset","h","w"
"RPI",2,0.0769230769230769,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"CMRMTSPL",6,0.230769230769231,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"AMTMNO",9,0.346153846153846,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"TCU",7,0.269230769230769,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"CPIAUCSL",4,0.153846153846154,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"PPIACO",11,0.423076923076923,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"PCEPILFE",6,0.230769230769231,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"PCEPI",11,0.423076923076923,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"DFXARC1M027SBEA",1,0.0384615384615385,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"DNRGRC1M027SBEA",4,0.153846153846154,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"CPILFESL",5,0.192307692307692,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"RSAFS",13,0.5,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"HSN1F",18,0.692307692307692,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"HOUST",19,0.730769230769231,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"PERMIT",16,0.615384615384615,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"UNRATE",6,0.230769230769231,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"PAYEMS",6,0.230769230769231,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"INDPRO",10,0.384615384615385,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"BUSINV",21,0.807692307692308,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"DSPIC96",6,0.230769230769231,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"ULCNFB",0,0,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"GDP",0,0,0,0,26,"nowcast_full_w105.RData","nowcast","full",NA,105
"SP500",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"NASDAQCOM",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"VIXCLS",4,0.0615384615384615,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"DJIA",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"EPU",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"NFCI",3,0.0461538461538462,7,0.107692307692308,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"CCSA",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"ICSA",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"RPI",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"CMRMTSPL",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"AMTMNO",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"TCU",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"CPIAUCSL",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"PPIACO",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"PCEPILFE",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"PCEPI",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
"DFXARC1M027SBEA",0,0,0,0,65,"nowcast_full_w66.RData","nowcast","full",NA,66
